Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
4,103,PIT,Danny Farmer,WR,23,2002,0,0,0,5,,33,0,0,0,0,0,0,0,0,43,611,1,,,,UCLA,College Stats,FarmDa00
4,104,STL,Kaulana Noa,T,,,0,0,0,,,,,,,,,,,,,,,,,,Hawaii,College Stats,-9999
4,105,NYG,Brandon Short,LB,23,2006,0,0,5,32,22,100,0,0,0,0,0,0,0,0,0,0,0,286,2,9.5,Penn St.,College Stats,ShorBr20
4,106,MIN,Antonio Wilson,LB,22,2002,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,14,,,Texas A&M-Commerce,,WilsAn20
4,107,OAK,Junior Ioane,DT,23,2005,0,0,0,4,0,36,0,0,0,0,0,0,0,0,0,0,0,33,,1.5,Arizona St.,,IoanJu20
4,108,SFO,John Keith,DB,23,2003,0,0,0,3,3,23,0,0,0,0,0,0,0,0,0,0,0,42,1,1.0,Furman,,KeitJo20
4,109,DAL,Kareem Larrimore,DB,24,2001,0,0,0,3,3,19,0,0,0,0,0,0,0,0,0,0,0,19,,,West Texas A&M,,LarrKa20
4,110,CLE,Aaron Shea,TE,23,2005,0,0,0,6,6,65,0,0,0,0,0,0,0,0,97,851,7,13,,,Michigan,College Stats,SheaAa00
4,111,SDG,Trevor Gaylor,WR,22,2002,0,0,0,7,3,34,0,0,0,0,0,0,0,0,52,784,4,,,,Miami (OH),College Stats,GaylTr00
4,112,DEN,Cooper Carlisle,G,23,2012,0,0,8,54,22,190,0,0,0,0,0,0,0,0,1,6,1,,,,Florida,,CarlCo20
4,113,SDG,Leonardo Carson,DT,23,2004,0,0,2,16,10,64,0,0,0,0,0,0,0,0,0,0,0,92,,8.5,Auburn,College Stats,CarsLe20
4,114,GNB,Anthony Lucas,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Arkansas,College Stats,-9999
4,115,KAN,Frank Moreau,RB,23,2001,0,0,0,1,1,14,0,0,0,0,0,75,206,5,0,0,0,,,,Louisville,College Stats,MoreFr00
4,116,SEA,Marcus Bell,LB,23,2002,0,0,1,7,7,45,0,0,0,0,0,0,0,0,0,0,0,109,1,2.0,Arizona,College Stats,BellMa21
4,117,MIA,Deon Dyer,FB,22,2002,0,0,0,0,0,45,0,0,0,0,0,0,0,0,2,14,0,2,,,North Carolina,College Stats,DyerDe00
4,118,MIN,Tyrone Carter,DB,24,2010,0,0,2,27,7,158,0,0,0,0,0,0,0,0,0,0,0,380,9,5.5,Minnesota,College Stats,CartTy20
4,119,SEA,Isaiah Kacyvenski,LB,22,2006,0,0,2,16,15,100,0,0,0,0,0,0,0,0,0,0,0,227,3,1.0,Harvard,,KacyIs20
4,120,CAR,Alvin McKinley,DE,22,2007,0,0,3,22,1,97,0,0,0,0,0,0,0,0,0,0,0,146,,11.5,Mississippi St.,,McKiAl20
